id,tagname,count
"3","javascript","2271785"
"17","java","1799080"
"16","python","1796726"
"9","c#","1497822"
"5","php","1414613"
"1386","android","1348454"
"2","html","1090877"
"820","jquery","1017472"
"10","c++","737692"
"4","css","732302"
"58338","ios","660815"
"21","mysql","631921"
"22","sql","604652"
"4452","r","418974"
"46426","node.js","402007"
"114","arrays","372589"
"8","c","364737"
"96","asp.net","364554"
"92497","reactjs","331765"
"4984","ruby-on-rails","328178"
"1508","json","325677"
"1",".net","311081"
"72","sql-server","309100"
"104797","swift","302231"
"60010","python-3.x","294687"
"7003","objective-c","291872"
"243","django","275075"
"78022","angularjs","262211"
"125866","angular","261961"
"522","excel","251574"
"18","regex","243945"
"154","iphone","221194"
"12","ruby","220985"
"363","ajax","217189"
"67719","pandas","215678"
"58","linux","208379"
"19","xml","204136"
"470","asp.net-mvc","195630"
"1449","vba","191831"
"1211","spring","188711"
"30","database","181033"
"75151","laravel","180903"
"382","wordpress","179640"
"139","string","168154"
"378","wpf","162839"
"84518","typescript","159729"
"30073","mongodb","152919"
"64","windows","152300"
"908","xcode","151567"
"256","postgresql","142916"
